xb,Light Level 2,50
hb,Light Level 1,50
hi,Light Level 1,90
hello,Light Level 1,40
hello,Light Level 1,60
e,Light Level 3,270
e,Average Level 5,900
ф,Final Level,1000
f,Light Level 1,170
f,Light Level 1,120
f,Light Level 2,890
